"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";187.989;0.033;0.4951;0.0142;0.1084;"Test";11
"AIRWLS";222.982;0.0329;0.4951;0.0181;0.5625;"Test";11
"Newton";108.298;0.033;0.495;0.0216;0.5575;"Test";11
"C-SGD";58.797;0.0337;0.4951;0.0136;0.5553;"Test";11
"B-SGD";33.26;0.0357;0.4952;0.013;0.5299;"Test";11
"glmPCA";605.717;0.0353;0.0091;0.0211;-0.0206;"Full";12
"NBWaVE";261.186;0.0297;0.0077;0.0131;0.546;"Full";12
"CMF";461.77;0.0312;0.0081;0.0153;0.1801;"Full";12
"NMF";565.372;0.0319;0.0082;0.0136;0.0418;"Full";12
"NNLM";182.902;0.0302;0.0078;0.0108;0.1346;"Full";12
"AIRWLS";219.42;0.0299;0.0078;0.0113;0.6083;"Full";12
"Newton";99.12;0.0299;0.0078;0.0122;0.5856;"Full";12
"C-SGD";59.557;0.0295;0.0077;0.011;0.5148;"Full";12
"B-SGD";33.911;0.0293;0.0076;0.0112;0.4739;"Full";12
"glmPCA";605.717;0.0353;0.147;0.0209;-0.0206;"Train";12
"NBWaVE";261.186;0.0288;0.1457;0.0127;0.546;"Train";12
"CMF";461.77;0.0309;0.146;0.0096;0.1801;"Train";12
"NMF";565.372;0.0317;0.1464;0.0112;0.0418;"Train";12
"NNLM";182.902;0.03;0.1458;0.0095;0.1346;"Train";12
"AIRWLS";219.42;0.0297;0.1458;0.0087;0.6083;"Train";12
"Newton";99.12;0.0297;0.1458;0.0087;0.5856;"Train";12
"C-SGD";59.557;0.0289;0.1457;0.0101;0.5148;"Train";12
"B-SGD";33.911;0.0281;0.1455;0.0107;0.4739;"Train";12
"glmPCA";605.717;0.0353;0.4957;0.0215;-0.0206;"Test";12
"NBWaVE";261.186;0.0324;0.4952;0.0141;0.546;"Test";12
"CMF";461.77;0.032;0.4954;0.0313;0.1801;"Test";12
"NMF";565.372;0.0325;0.495;0.0204;0.0418;"Test";12
