"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NBWaVE";209.694;0.047;0.4971;0.021;0.4742;"Test";7
"CMF";345.358;0.0468;0.4972;0.0223;-0.0018;"Test";7
"NMF";NA;NA;NA;NA;NA;"Test";7
"NNLM";274.665;0.0464;0.4971;0.0208;0.0039;"Test";7
"AIRWLS";172.603;0.0455;0.497;0.0197;0.4802;"Test";7
"Newton";150.824;0.0455;0.497;0.0198;0.4816;"Test";7
"C-SGD";65.977;0.0456;0.497;0.0196;0.4525;"Test";7
"B-SGD";42.358;0.0451;0.4969;0.0196;0.4771;"Test";7
"glmPCA";1242.312;0.0495;0.0142;0.0258;-0.0118;"Full";8
"NBWaVE";217.981;0.0451;0.0129;0.0193;0.4872;"Full";8
"CMF";347.203;0.0452;0.013;Inf;0.0191;"Full";8
"NMF";477.844;0.0465;0.0133;0.0204;-0.0063;"Full";8
"NNLM";261.211;0.0447;0.0129;0.0184;0.0097;"Full";8
"AIRWLS";174.266;0.044;0.0127;0.0176;0.4819;"Full";8
"Newton";156.227;0.044;0.0127;0.0176;0.4577;"Full";8
"C-SGD";65.622;0.0439;0.0127;0.018;0.3815;"Full";8
"B-SGD";42.747;0.0433;0.0125;0.018;0.4303;"Full";8
"glmPCA";1242.312;0.0495;0.1516;0.0258;-0.0118;"Train";8
"NBWaVE";217.981;0.0449;0.1505;0.0192;0.4872;"Train";8
"CMF";347.203;0.0451;0.1506;Inf;0.0191;"Train";8
"NMF";477.844;0.0464;0.1509;0.0201;-0.0063;"Train";8
"NNLM";261.211;0.0447;0.1504;0.0181;0.0097;"Train";8
"AIRWLS";174.266;0.0439;0.1503;0.0173;0.4819;"Train";8
"Newton";156.227;0.0439;0.1503;0.0173;0.4577;"Train";8
"C-SGD";65.622;0.0438;0.1502;0.0179;0.3815;"Train";8
"B-SGD";42.747;0.0431;0.1501;0.0179;0.4303;"Train";8
"glmPCA";1242.312;0.0497;0.498;0.0261;-0.0118;"Test";8
"NBWaVE";217.981;0.0456;0.4973;0.0197;0.4872;"Test";8
"CMF";347.203;0.0453;0.4974;0.02;0.0191;"Test";8
"NMF";477.844;0.0467;0.4975;0.0213;-0.0063;"Test";8
"NNLM";261.211;0.0449;0.4973;0.0191;0.0097;"Test";8
"AIRWLS";174.266;0.0442;0.4972;0.0186;0.4819;"Test";8
"Newton";156.227;0.0442;0.4972;0.0186;0.4577;"Test";8
"C-SGD";65.622;0.0444;0.4973;0.0185;0.3815;"Test";8
"B-SGD";42.747;0.0439;0.4972;0.0185;0.4303;"Test";8
"glmPCA";1234.727;0.0489;0.0142;0.0262;-0.0194;"Full";9
"NBWaVE";204.175;0.0448;0.013;0.0191;0.4568;"Full";9
"CMF";339.448;0.045;0.0131;0.0193;-0.0264;"Full";9
"NMF";476.84;0.0461;0.0134;0.0209;-0.0045;"Full";9
"NNLM";270.541;0.0444;0.013;0.0186;0.019;"Full";9
"AIRWLS";165.486;0.0437;0.0127;0.0171;0.4782;"Full";9
"Newton";162.97;0.0436;0.0127;0.0172;0.4556;"Full";9
"C-SGD";65.759;0.0435;0.0127;0.0178;0.4532;"Full";9
"B-SGD";43.06;0.0429;0.0126;0.0178;0.4569;"Full";9
"glmPCA";1234.727;0.0489;0.1515;0.0262;-0.0194;"Train";9
"NBWaVE";204.175;0.0446;0.1505;0.0189;0.4568;"Train";9
"CMF";339.448;0.045;0.1506;0.0187;-0.0264;"Train";9
"NMF";476.84;0.046;0.1509;0.0204;-0.0045;"Train";9
"NNLM";270.541;0.0444;0.1505;0.0183;0.019;"Train";9
"AIRWLS";165.486;0.0436;0.1503;0.0167;0.4782;"Train";9
"Newton";162.97;0.0436;0.1503;0.0167;0.4556;"Train";9
"C-SGD";65.759;0.0434;0.1502;0.0176;0.4532;"Train";9
"B-SGD";43.06;0.0427;0.1501;0.0176;0.4569;"Train";9
"glmPCA";1234.727;0.0489;0.498;0.0265;-0.0194;"Test";9
"NBWaVE";204.175;0.0452;0.4975;0.0194;0.4568;"Test";9
"CMF";339.448;0.0451;0.4975;0.0211;-0.0264;"Test";9
"NMF";476.84;0.0462;0.4976;0.0221;-0.0045;"Test";9
