"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"B-SGD";27.752;0.031;0.0066;0.0129;0.4488;"Full";10
"glmPCA";517.397;0.0368;0.146;0.0212;-0.0252;"Train";10
"NBWaVE";146.03;0.0311;0.145;0.0141;0.5472;"Train";10
"CMF";258.529;0.0331;0.1453;0.0123;0.2022;"Train";10
"NMF";368.66;0.0338;0.1455;0.0138;0.0679;"Train";10
"NNLM";136.062;0.0319;0.1451;0.0118;0.1464;"Train";10
"AIRWLS";167.346;0.0316;0.145;0.011;0.5406;"Train";10
"Newton";88.363;0.0316;0.1451;0.011;0.5161;"Train";10
"C-SGD";51.108;0.0308;0.1449;0.0121;0.5035;"Train";10
"B-SGD";27.752;0.03;0.1448;0.0125;0.4488;"Train";10
"glmPCA";517.397;0.037;0.4949;0.0218;-0.0252;"Test";10
"NBWaVE";146.03;0.0338;0.4945;0.0152;0.5472;"Test";10
"CMF";258.529;0.0338;0.4947;Inf;0.2022;"Test";10
"NMF";368.66;0.0343;0.4945;0.0192;0.0679;"Test";10
"NNLM";136.062;0.0325;0.4945;0.0147;0.1464;"Test";10
"AIRWLS";167.346;0.0323;0.4945;0.0179;0.5406;"Test";10
"Newton";88.363;0.0324;0.4944;0.0192;0.5161;"Test";10
"C-SGD";51.108;0.0328;0.4945;0.0143;0.5035;"Test";10
"B-SGD";27.752;0.0339;0.4946;0.0141;0.4488;"Test";10
"glmPCA";54.114;0.0375;0.0084;0.0215;-0.0115;"Full";11
"NBWaVE";200.224;0.0316;0.0071;0.013;0.5278;"Full";11
"CMF";260.052;0.0329;0.0074;0.0133;0.2041;"Full";11
"NMF";NA;NA;NA;NA;NA;"Full";11
"NNLM";144.09;0.0318;0.0072;0.011;0.143;"Full";11
"AIRWLS";168.019;0.0315;0.0071;0.0112;0.5307;"Full";11
"Newton";86.194;0.0315;0.0071;0.0118;0.5316;"Full";11
"C-SGD";51.651;0.031;0.007;0.0112;0.5127;"Full";11
"B-SGD";26.799;0.0308;0.0069;0.0114;0.4887;"Full";11
"glmPCA";54.114;0.0374;0.1465;0.0213;-0.0115;"Train";11
"NBWaVE";200.224;0.031;0.1453;0.0128;0.5278;"Train";11
"CMF";260.052;0.0328;0.1455;0.0105;0.2041;"Train";11
"NMF";NA;NA;NA;NA;NA;"Train";11
"NNLM";144.09;0.0317;0.1454;0.0101;0.143;"Train";11
"AIRWLS";168.019;0.0313;0.1453;0.0094;0.5307;"Train";11
"Newton";86.194;0.0313;0.1453;0.0094;0.5316;"Train";11
"C-SGD";51.651;0.0304;0.1452;0.0106;0.5127;"Train";11
"B-SGD";26.799;0.0299;0.1451;0.0109;0.4887;"Train";11
"glmPCA";54.114;0.0376;0.4952;0.022;-0.0115;"Test";11
"NBWaVE";200.224;0.0336;0.4947;0.0137;0.5278;"Test";11
"CMF";260.052;0.0333;0.4948;0.0217;0.2041;"Test";11
"NMF";NA;NA;NA;NA;NA;"Test";11
"NNLM";144.09;0.0322;0.4947;0.0136;0.143;"Test";11
"AIRWLS";168.019;0.0319;0.4946;0.0165;0.5307;"Test";11
"Newton";86.194;0.032;0.4946;0.0187;0.5316;"Test";11
"C-SGD";51.651;0.0324;0.4947;0.0129;0.5127;"Test";11
"B-SGD";26.799;0.0333;0.4947;0.0128;0.4887;"Test";11
"glmPCA";505.58;0.0382;0.008;0.021;-0.0243;"Full";12
"NBWaVE";153.224;0.0328;0.0069;0.0133;0.5326;"Full";12
"CMF";271.331;0.0341;0.0072;0.014;0.1875;"Full";12
"NMF";369.717;0.0351;0.0074;0.0143;0.0578;"Full";12
"NNLM";137.408;0.0327;0.0069;0.0112;0.0838;"Full";12
"AIRWLS";168.71;0.0323;0.0069;0.0112;0.5701;"Full";12
"Newton";92.231;0.0323;0.0069;0.0115;0.5968;"Full";12
"C-SGD";51.493;0.032;0.0068;0.0115;0.4975;"Full";12
"B-SGD";26.423;0.0319;0.0068;0.0115;0.4206;"Full";12
"glmPCA";505.58;0.0382;0.1464;0.0207;-0.0243;"Train";12
"NBWaVE";153.224;0.0321;0.1454;0.013;0.5326;"Train";12
