"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"AIRWLS";154.241;0.037;0.4965;0.0152;0.499;"Test";12
"Newton";104.24;0.037;0.4965;0.0153;0.4645;"Test";12
"C-SGD";44.434;0.0371;0.4965;0.0149;0.4626;"Test";12
"B-SGD";27.357;0.037;0.4965;0.0149;0.4229;"Test";12
"glmPCA";622.823;0.0445;0.0113;0.0227;-0.0253;"Full";13
"NBWaVE";114.379;0.0398;0.0101;0.0164;0.451;"Full";13
"CMF";198.849;0.0406;0.0104;0.0167;0.0412;"Full";13
"NMF";273.432;0.0414;0.0105;0.0175;-0.0017;"Full";13
"NNLM";151.949;0.0395;0.0101;0.0153;0.0711;"Full";13
"AIRWLS";147.061;0.0388;0.0099;0.0146;0.4603;"Full";13
"Newton";75.377;0.0387;0.0099;0.0146;0.4706;"Full";13
"C-SGD";43.641;0.0385;0.0098;0.0149;0.445;"Full";13
"B-SGD";27.537;0.0382;0.0098;0.015;0.4794;"Full";13
"glmPCA";622.823;0.0445;0.1489;0.0227;-0.0253;"Train";13
"NBWaVE";114.379;0.0396;0.1479;0.0162;0.451;"Train";13
"CMF";198.849;0.0405;0.1481;0.0159;0.0412;"Train";13
"NMF";273.432;0.0413;0.1483;0.017;-0.0017;"Train";13
"NNLM";151.949;0.0395;0.1479;0.015;0.0711;"Train";13
"AIRWLS";147.061;0.0387;0.1477;0.0141;0.4603;"Train";13
"Newton";75.377;0.0386;0.1477;0.0141;0.4706;"Train";13
"C-SGD";43.641;0.0383;0.1476;0.0147;0.445;"Train";13
"B-SGD";27.537;0.0379;0.1475;0.0148;0.4794;"Train";13
"glmPCA";622.823;0.0446;0.4968;0.023;-0.0253;"Test";13
"NBWaVE";114.379;0.0404;0.4962;0.0167;0.451;"Test";13
"CMF";198.849;0.0408;0.4964;0.0188;0.0412;"Test";13
"NMF";273.432;0.0416;0.4963;0.0187;-0.0017;"Test";13
"NNLM";151.949;0.0398;0.4962;0.0161;0.0711;"Test";13
"AIRWLS";147.061;0.0391;0.4961;0.0161;0.4603;"Test";13
"Newton";75.377;0.039;0.4961;0.0161;0.4706;"Test";13
"C-SGD";43.641;0.0391;0.4961;0.0155;0.445;"Test";13
"B-SGD";27.537;0.039;0.4961;0.0155;0.4794;"Test";13
"glmPCA";719.246;0.0425;0.0104;0.0233;-0.0174;"Full";14
"NBWaVE";119.267;0.038;0.0093;0.0169;0.479;"Full";14
"CMF";205.471;0.0394;0.0097;Inf;0.0015;"Full";14
"NMF";273.08;0.0397;0.0097;0.0182;0.0083;"Full";14
"NNLM";151.049;0.0379;0.0093;0.0161;0.0188;"Full";14
"AIRWLS";132.944;0.037;0.0091;0.0151;0.4672;"Full";14
"Newton";120.942;0.037;0.0091;0.0151;0.4625;"Full";14
"C-SGD";44.377;0.0368;0.0091;0.0156;0.4788;"Full";14
"B-SGD";27.002;0.0364;0.009;0.0156;0.4123;"Full";14
"glmPCA";719.246;0.0426;0.1482;0.0232;-0.0174;"Train";14
"NBWaVE";119.267;0.0379;0.1473;0.0167;0.479;"Train";14
"CMF";205.471;0.0388;0.1474;0.0166;0.0015;"Train";14
"NMF";273.08;0.0396;0.1477;0.0177;0.0083;"Train";14
"NNLM";151.049;0.0378;0.1473;0.0158;0.0188;"Train";14
"AIRWLS";132.944;0.0369;0.1471;0.0146;0.4672;"Train";14
"Newton";120.942;0.0369;0.1471;0.0146;0.4625;"Train";14
"C-SGD";44.377;0.0366;0.1471;0.0154;0.4788;"Train";14
"B-SGD";27.002;0.0362;0.147;0.0154;0.4123;"Train";14
"glmPCA";719.246;0.0425;0.4962;0.0236;-0.0174;"Test";14
"NBWaVE";119.267;0.0384;0.4957;0.0173;0.479;"Test";14
"CMF";205.471;0.0409;0.4962;Inf;0.0015;"Test";14
"NMF";273.08;0.0397;0.4958;0.0195;0.0083;"Test";14
"NNLM";151.049;0.038;0.4957;0.0171;0.0188;"Test";14
"AIRWLS";132.944;0.0371;0.4956;0.0163;0.4672;"Test";14
"Newton";120.942;0.0371;0.4956;0.0164;0.4625;"Test";14
"C-SGD";44.377;0.0372;0.4956;0.0162;0.4788;"Test";14
"B-SGD";27.002;0.037;0.4956;0.0161;0.4123;"Test";14
"glmPCA";695.834;0.0429;0.0112;0.0226;-0.025;"Full";15
"NBWaVE";114.845;0.0388;0.0102;0.0162;0.4897;"Full";15
"CMF";202.487;0.0396;0.0104;0.0172;0.011;"Full";15
"NMF";NA;NA;NA;NA;NA;"Full";15
"NNLM";151.365;0.0385;0.0101;0.0151;0.0023;"Full";15
"AIRWLS";195.292;0.0379;0.01;0.0145;0.4243;"Full";15
