"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";NA;NA;NA;NA;NA;"Train";11
"NNLM";146.472;0.0302;0.1453;0.0101;-0.0051;"Train";11
"AIRWLS";168.436;0.0299;0.1453;0.0095;0.463;"Train";11
"Newton";91.453;0.0299;0.1453;0.0095;0.4332;"Train";11
"C-SGD";51.627;0.0292;0.1451;0.0106;0.4488;"Train";11
"B-SGD";27.46;0.0286;0.145;0.0109;0.3832;"Train";11
"glmPCA";504.004;0.0354;0.4952;0.0203;-0.0306;"Test";11
"NBWaVE";236.106;0.0322;0.4948;0.0139;0.4949;"Test";11
"CMF";261.598;0.0319;0.4949;0.0237;0.1636;"Test";11
"NMF";NA;NA;NA;NA;NA;"Test";11
"NNLM";146.472;0.0308;0.4947;0.0133;-0.0051;"Test";11
"AIRWLS";168.436;0.0306;0.4947;0.0162;0.463;"Test";11
"Newton";91.453;0.0306;0.4947;0.0175;0.4332;"Test";11
"C-SGD";51.627;0.031;0.4947;0.013;0.4488;"Test";11
"B-SGD";27.46;0.0319;0.4948;0.0127;0.3832;"Test";11
"glmPCA";513.163;0.0349;0.0076;0.0202;-0.022;"Full";12
"NBWaVE";207.839;0.03;0.0066;0.0136;0.5621;"Full";12
"CMF";252.718;0.0315;0.0069;0.0152;0.044;"Full";12
"NMF";368.354;0.032;0.007;0.0143;0.0923;"Full";12
"NNLM";140.092;0.0302;0.0066;0.0116;0.0264;"Full";12
"AIRWLS";168.655;0.03;0.0066;0.0119;0.5068;"Full";12
"Newton";92.47;0.03;0.0066;0.0127;0.4469;"Full";12
"C-SGD";51.653;0.0296;0.0065;0.0118;0.5059;"Full";12
"B-SGD";26.731;0.0295;0.0065;0.012;0.4229;"Full";12
"glmPCA";513.163;0.0347;0.1457;0.02;-0.022;"Train";12
"NBWaVE";207.839;0.0293;0.1447;0.0133;0.5621;"Train";12
"CMF";252.718;0.0312;0.145;0.0112;0.044;"Train";12
"NMF";368.354;0.0318;0.1453;0.0126;0.0923;"Train";12
"NNLM";140.092;0.03;0.1448;0.0107;0.0264;"Train";12
"AIRWLS";168.655;0.0297;0.1448;0.01;0.5068;"Train";12
"Newton";92.47;0.0298;0.1448;0.01;0.4469;"Train";12
"C-SGD";51.653;0.0291;0.1447;0.0112;0.5059;"Train";12
"B-SGD";26.731;0.0285;0.1446;0.0115;0.4229;"Train";12
"glmPCA";513.163;0.0352;0.495;0.0208;-0.022;"Test";12
"NBWaVE";207.839;0.0321;0.4946;0.0143;0.5621;"Test";12
"CMF";252.718;0.0323;0.4948;0.027;0.044;"Test";12
"NMF";368.354;0.0327;0.4945;0.0194;0.0923;"Test";12
"NNLM";140.092;0.0309;0.4946;0.0143;0.0264;"Test";12
"AIRWLS";168.655;0.0307;0.4945;0.0175;0.5068;"Test";12
"Newton";92.47;0.0308;0.4945;0.0205;0.4469;"Test";12
"C-SGD";51.653;0.0311;0.4946;0.0137;0.5059;"Test";12
"B-SGD";26.731;0.0324;0.4947;0.0133;0.4229;"Test";12
"glmPCA";998.559;0.0383;0.0077;0.0244;-0.0366;"Full";13
"NBWaVE";196.562;0.0326;0.0066;0.0144;0.4278;"Full";13
"CMF";267.056;0.0338;0.0069;0.0151;0.1907;"Full";13
"NMF";NA;NA;NA;NA;NA;"Full";13
"NNLM";145.233;0.0326;0.0067;0.0122;0.1533;"Full";13
"AIRWLS";170.559;0.0324;0.0066;0.0124;0.4303;"Full";13
"Newton";94.183;0.0323;0.0066;0.0127;0.4469;"Full";13
"C-SGD";50.867;0.0319;0.0065;0.0121;0.4928;"Full";13
"B-SGD";26.944;0.0317;0.0065;0.0123;0.4027;"Full";13
"glmPCA";998.559;0.0383;0.1463;0.0242;-0.0366;"Train";13
"NBWaVE";196.562;0.0319;0.1452;0.0139;0.4278;"Train";13
