"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";152.669;0.0419;0.1469;0.0165;-0.0112;"Train";14
"AIRWLS";156.207;0.0411;0.1468;0.0152;0.4299;"Train";14
"Newton";98.647;0.0411;0.1468;0.0152;0.3729;"Train";14
"C-SGD";44.513;0.0407;0.1467;0.016;0.3374;"Train";14
"B-SGD";27.102;0.0403;0.1466;0.0161;0.3415;"Train";14
"glmPCA";710.289;0.0479;0.4963;0.0268;-0.0223;"Test";14
"NBWaVE";120.528;0.043;0.4957;0.0183;0.4455;"Test";14
"CMF";215.926;0.0431;0.4958;0.0198;0.1802;"Test";14
"NMF";276.575;0.0441;0.4958;0.0204;-0.0108;"Test";14
"NNLM";152.669;0.0422;0.4957;0.0177;-0.0112;"Test";14
"AIRWLS";156.207;0.0415;0.4956;0.0178;0.4299;"Test";14
"Newton";98.647;0.0415;0.4956;0.0185;0.3729;"Test";14
"C-SGD";44.513;0.0415;0.4956;0.017;0.3374;"Test";14
"B-SGD";27.102;0.0415;0.4956;0.017;0.3415;"Test";14
"glmPCA";661.739;0.0415;0.0116;0.0209;-0.0122;"Full";15
"NBWaVE";114.723;0.0375;0.0105;0.0149;0.4909;"Full";15
"CMF";203.882;0.0382;0.0107;Inf;0.012;"Full";15
"NMF";NA;NA;NA;NA;NA;"Full";15
"NNLM";153.026;0.0373;0.0105;0.014;0.0012;"Full";15
"AIRWLS";112.673;0.0366;0.0103;0.0133;0.4329;"Full";15
"Newton";113.762;0.0366;0.0103;0.0134;0.4257;"Full";15
"C-SGD";43.879;0.0364;0.0103;0.0137;0.3223;"Full";15
"B-SGD";26.721;0.036;0.0102;0.0137;0.3824;"Full";15
"glmPCA";661.739;0.0415;0.1494;0.0208;-0.0122;"Train";15
